316,Manufacturer,Type,Multi Engine,Lowest Year,Highest Year,Date Range,Year Model Filter,Lowest Age,Highest Age,Min Crew Required,Max Operating Altitude (ft),Balanced Field Length (ft),Aircraft Height (ft),Wingspan (ft),Aircraft Length (ft),Aircraft Volume (cubic ft),Cabin Height (ft),Cabin Width (ft),Cabin Length (ft),Cabin Volume (cubic ft),Baggage Volume (cubic ft),Cabin/Aircraft Volume,Range(NM),Speed(KTS),Passengers,Average Price,Depreciation Rate,Average Trip Time,# of Hours,Passenger Pay,Hourly Charter Rate,Average Charter Trip Time,# of Charter Hours,Yearly Charter Profit,Total Fixed Cost,Total Variable Cost,Adjusted Variable Cost,Annual Budget,Adjusted Annual Budget,Multi-Year Total Cost,MYTC w/ Aircraft Sale,Cost To Charter,Own/Charter Ratio,Own/Charter Savings,Best Speed/$,Normalized Speed/$,Best Seat Speed/$,Best Range/$,Normalized Range/$,Best Seat Range/$,Best Performance/$,Normalized Performance/$,Best Seat Performance/$,Best Efficiency/$,Normalized Effieciency/$,Best Seat Efficiency/$,Best All Around/$,Best Seat All Around/$,Total Hourly Cost,Hourly Cost/Seat,Cost/Mile,Cost/Seat Mile,Hourly Variable Cost,Variable Cost/Seat,Variable Cost/Mile,Variable Cost/Seat Mile
CHEYENNE IA,PIPER,Turboprop,Yes,1984,1985,1984-1985,No,39,40,1,"31,000","2,772",12.70,42.70,34.70,"18,817",4.40,4.20,10.92,201.8,42,9.3,636,247,5,"$771,000","$628,652",1.6,168,$0,"$1,109.14",0.0,0,$0,"$348,568","$998,226","$404,739","$1,346,794","$670,607","$4,266,382","$3,637,729","$3,736,051",0.97,"-$98,321",17.27,52.05,3.45,67.08,125.14,13.42,88.60,120.59,17.72,76.63,15.03,15.33,67.81,13.56,"$2,992.88",$598.58,$12.12,$2.42,"$2,218.28",$443.66,$8.98,$1.80
PHENOM 100,EMBRAER,Business Jet,Yes,2008,2013,2008-2013,Yes,11,16,1,"41,000","3,125",14.30,40.40,42.10,"24,322",4.92,5.10,11.00,276.0,71,8.8,920,371,5,"$2,687,000","$2,190,906",1.1,112,$0,$904.38,0.0,0,$0,"$330,332","$813,942","$219,716","$1,144,274","$420,048","$5,283,336","$3,092,429","$2,028,151",1.52,"$1,064,278",14.24,41.65,2.85,57.43,105.45,11.49,73.55,99.78,14.71,51.52,10.07,10.30,54.93,10.99,"$2,542.83",$508.57,$6.85,$1.37,"$1,808.76",$361.75,$4.88,$0.98
BEECHJET 400A,BEECH,Business Jet,Yes,1990,2003,1990-2003,Yes,21,34,2,"45,000","4,485",13.90,43.50,48.40,"29,265",4.91,4.92,15.70,379.3,56,7.7,"1,151",449,7,"$1,785,000","$1,455,440",0.9,93,$0,"$1,491.72",0.0,0,$0,"$493,925","$1,342,548","$299,451","$1,836,473","$663,376","$5,431,442","$3,976,002","$2,764,167",1.44,"$1,211,835",12.10,34.30,1.73,47.19,84.57,6.74,59.43,80.25,8.49,72.18,14.15,10.31,47.20,6.74,"$4,081.05",$583.01,$9.09,$1.30,"$2,983.44",$426.21,$6.64,$0.95
TBM-930,SOCATA,Turboprop,No,2015,2020,2015-2020,Yes,4,9,1,"31,000","3,000",14.30,42.10,35.20,"21,191",4.10,4.00,10.00,164.0,33,12.9,"1,274",323,5,"$3,542,000","$2,888,050",1.2,129,$0,$605.50,0.0,0,$0,"$213,188","$544,950","$168,965","$758,138","$299,453","$5,693,215","$2,805,165","$1,559,678",1.80,"$1,245,487",17.63,53.27,3.53,44.69,79.47,8.94,66.37,89.84,13.27,42.69,8.33,8.54,49.09,9.82,"$1,684.75",$336.95,$5.22,$1.04,"$1,211.00",$242.20,$3.75,$0.75
KING AIR C90,BEECH,Turboprop,Yes,1971,1982,1971-1982,No,42,53,1,"30,000","5,070",14.30,50.20,35.50,"25,484",4.91,4.60,12.50,282.3,54,9.0,819,216,5,"$817,000","$666,159",1.9,193,$0,$748.50,0.0,0,$0,"$361,568","$673,650","$312,337","$1,035,218","$591,205","$3,923,866","$3,257,706","$2,883,111",1.13,"$374,595",18.17,55.12,3.63,47.91,86.04,9.58,70.58,95.67,14.12,54.39,10.64,10.88,53.15,10.63,"$2,300.48",$460.10,$10.65,$2.13,"$1,497.00",$299.40,$6.93,$1.39
CITATION III,CESSNA,Business Jet,Yes,1983,1991,1983-1991,No,33,41,2,"51,000","5,489",16.80,53.50,55.40,"49,794",5.80,5.60,18.50,600.9,61,8.3,"1,725",431,8,"$1,097,000","$894,464",0.9,97,$0,"$1,725.18",0.0,0,$0,"$596,315","$1,552,662","$360,780","$2,148,977","$827,095","$5,435,012","$4,540,548","$3,330,278",1.36,"$1,210,270",12.61,36.06,1.58,31.51,52.58,3.94,44.32,59.35,5.54,87.02,17.08,10.88,38.21,4.78,"$4,775.50",$596.94,$11.08,$1.39,"$3,450.36",$431.30,$8.01,$1.00
KING AIR B200 XP61,BEECH,Turboprop,Yes,1981,2024,1981-2024,Yes,0,43,1,"35,000","3,705",14.80,54.50,43.90,"35,410",4.90,4.60,16.80,378.7,54,9.4,951,311,6,"$1,956,000","$1,594,869",1.3,134,$0,$966.28,0.0,0,$0,"$466,058","$869,652","$280,045","$1,335,710","$663,403","$5,634,147","$4,039,278","$2,585,032",1.56,"$1,454,246",18.12,54.95,3.02,59.24,109.15,9.87,82.05,111.54,13.68,70.02,13.72,11.67,62.63,10.44,"$2,968.24",$494.71,$9.54,$1.59,"$1,932.56",$322.09,$6.21,$1.04
KING AIR 300,BEECH,Turboprop,Yes,1984,1990,1984-1990,No,34,40,1,"35,000","3,851",14.80,54.50,43.90,"35,410",4.90,4.60,16.80,378.7,54,9.4,"1,443",312,6,"$2,028,000","$1,653,576",1.3,133,$0,$988.40,0.0,0,$0,"$463,746","$889,560","$285,538","$1,353,306","$666,584","$5,735,343","$4,081,767","$2,635,733",1.55,"$1,446,034",18.38,55.86,3.06,39.75,69.39,6.62,62.62,84.67,10.44,72.68,14.25,12.11,49.46,8.24,"$3,007.35",$501.22,$9.64,$1.61,"$1,976.80",$329.47,$6.34,$1.06
KING AIR 200 RAISBECK,BEECH,Turboprop,Yes,1974,1981,1974-1981,No,43,50,1,"35,000","3,705",14.80,54.50,43.90,"35,410",4.90,4.60,16.80,378.7,54,9.4,836,283,6,"$1,622,000","$1,322,535",1.4,147,$0,$952.28,0.0,0,$0,"$447,746","$857,052","$303,294","$1,304,798","$668,340","$5,263,165","$3,940,630","$2,799,636",1.41,"$1,140,995",18.60,56.60,3.10,62.96,116.72,10.49,86.66,117.92,14.44,70.84,13.89,11.81,65.90,10.98,"$2,899.55",$483.26,$10.25,$1.71,"$1,904.56",$317.43,$6.73,$1.12
MERLIN IV-C,FAIRCHILD,Turboprop,Yes,1982,1987,1982-1987,No,37,42,2,"31,000","5,362",16.91,46.30,42.20,"33,040",4.90,5.20,33.10,843.4,181,3.9,"1,140",264,13,"$740,000","$603,376",1.5,158,$0,"$1,302.78",0.0,0,$0,"$470,746","$1,172,502","$444,788","$1,643,248","$832,834","$5,040,792","$4,437,416","$4,105,731",1.08,"$331,685",19.09,58.30,1.47,44.22,78.51,3.40,68.40,92.66,5.26,99.50,19.54,7.65,56.10,4.32,"$3,651.66",$280.90,$13.83,$1.06,"$2,605.56",$200.43,$9.87,$0.76
KING AIR F90,BEECH,Turboprop,Yes,1983,1986,1983-1986,No,38,41,1,"31,000","5,265",15.10,45.90,39.80,"27,585",4.91,4.60,12.50,282.3,54,9.8,917,251,5,"$1,494,000","$1,218,167",1.6,166,$0,$867.44,0.0,0,$0,"$356,568","$780,696","$311,495","$1,137,264","$585,363","$4,696,648","$3,478,482","$2,875,339",1.21,"$603,143",18.71,56.99,3.74,51.22,92.78,10.24,74.89,101.63,14.98,64.93,12.72,12.99,57.17,11.43,"$2,527.25",$505.45,$10.07,$2.01,"$1,734.88",$346.98,$6.91,$1.38
CITATION BRAVO,CESSNA,Business Jet,Yes,1997,2006,1997-2006,Yes,18,27,2,"43,000","4,065",15.00,51.70,47.30,"36,681",4.80,4.91,15.90,374.7,74,9.8,"1,295",405,7,"$1,981,000","$1,615,253",1.0,103,$0,"$1,257.70",0.0,0,$0,"$502,318","$1,131,930","$279,903","$1,634,248","$652,221","$5,607,851","$3,992,598","$2,583,720",1.55,"$1,408,879",13.85,40.30,1.98,43.30,76.64,6.19,58.47,78.92,8.35,69.66,13.65,9.95,46.29,6.61,"$3,631.66",$518.81,$8.97,$1.28,"$2,515.40",$359.34,$6.21,$0.89
AVANTI II P180,PIAGGIO,Turboprop,Yes,2005,2024,2005-2024,Yes,0,19,1,"41,000","3,412",13.00,46.00,42.30,"25,295",5.91,6.10,17.60,634.5,60,4.0,"1,050",346,6,"$2,450,000","$1,997,663",1.2,120,$0,"$1,296.28",0.0,0,$0,"$485,221","$1,166,652","$337,682","$1,651,873","$740,203","$6,603,353","$4,605,690","$3,117,066",1.48,"$1,488,623",19.08,58.27,3.18,62.89,116.59,10.48,87.43,118.98,14.57,98.96,19.44,16.49,69.21,11.53,"$3,670.83",$611.80,$10.61,$1.77,"$2,592.56",$432.09,$7.49,$1.25
PREMIER IA,BEECH,Business Jet,Yes,2006,2012,2006-2012,Yes,12,18,1,"41,000","3,792",15.70,44.50,46.00,"32,138",5.40,5.60,13.70,414.3,78,7.8,829,426,7,"$2,249,000","$1,833,773",0.9,98,$0,"$1,133.92",0.0,0,$0,"$503,955","$1,020,528","$239,915","$1,524,483","$613,870","$5,733,579","$3,899,806","$2,214,604",1.76,"$1,685,202",13.46,38.97,1.92,69.16,129.38,9.88,84.18,114.48,12.03,61.05,11.95,8.72,63.22,9.03,"$3,387.74",$483.96,$7.95,$1.14,"$2,267.84",$323.98,$5.32,$0.76
GRAND CARAVAN 208B,CESSNA,Turboprop,No,1990,2013,1990-2013,Yes,11,34,1,"25,000","2,359",15.50,52.10,41.60,"33,594",4.60,5.40,16.90,419.8,32,8.0,516,182,9,"$1,500,000","$1,223,059",2.2,229,$0,$455.92,0.0,0,$0,"$214,188","$410,328","$225,789","$624,516","$357,277","$3,563,326","$2,340,267","$2,084,206",1.12,"$256,061",19.58,59.97,2.18,69.06,129.17,7.67,94.57,128.85,10.51,35.71,6.95,3.97,67.90,7.54,"$1,387.81",$154.20,$7.63,$0.85,$911.84,$101.32,$5.01,$0.56
KING AIR B200 RAISBECK,BEECH,Turboprop,Yes,1981,2008,1981-2008,Yes,16,43,1,"35,000","3,705",14.80,54.50,43.90,"35,410",4.91,4.60,16.80,379.4,54,9.3,837,292,6,"$1,956,000","$1,594,869",1.4,142,$0,$952.28,0.0,0,$0,"$461,746","$857,052","$293,946","$1,318,798","$672,992","$5,682,090","$4,087,221","$2,713,346",1.51,"$1,373,875",19.46,59.56,3.24,67.89,126.78,11.31,93.17,126.92,15.53,74.12,14.53,12.35,70.73,11.79,"$2,930.66",$488.44,$10.04,$1.67,"$1,904.56",$317.43,$6.52,$1.09
KING AIR 200,BEECH,Turboprop,Yes,1974,1981,1974-1981,No,43,50,1,"35,000","5,167",14.80,54.50,43.90,"35,410",4.91,4.60,16.80,379.4,54,9.3,"1,048",272,6,"$1,622,000","$1,322,535",1.5,153,$0,$946.32,0.0,0,$0,"$447,746","$851,688","$313,584","$1,299,434","$678,630","$5,314,618","$3,992,083","$2,894,626",1.38,"$1,097,457",19.54,59.83,3.26,50.71,91.75,8.45,75.79,102.88,12.63,73.96,14.50,12.33,58.69,9.78,"$2,887.63",$481.27,$10.62,$1.77,"$1,892.64",$315.44,$6.96,$1.16
KING AIR C90A,BEECH,Turboprop,Yes,1984,1992,1984-1992,No,32,40,1,"30,000","5,167",14.30,50.20,35.50,"25,484",4.91,4.60,12.50,282.3,54,9.0,809,234,5,"$1,451,000","$1,183,106",1.7,178,$0,$778.30,0.0,0,$0,"$358,568","$700,470","$299,790","$1,059,038","$575,658","$4,597,182","$3,414,077","$2,767,289",1.23,"$646,788",19.65,60.20,3.93,56.83,104.22,11.37,82.21,111.76,16.44,61.16,11.98,12.23,61.87,12.37,"$2,353.42",$470.68,$10.06,$2.01,"$1,556.60",$311.32,$6.65,$1.33
CITATION CJ1+,CESSNA,Business Jet,Yes,2005,2011,2005-2011,Yes,13,19,1,"41,000","3,890",13.80,46.80,42.60,"27,513",4.90,4.91,11.00,264.6,45,10.4,873,389,6,"$2,423,000","$1,975,648",1.0,107,$0,$941.08,0.0,0,$0,"$491,336","$846,972","$218,053","$1,338,308","$579,389","$5,767,298","$3,791,650","$2,012,798",1.88,"$1,778,851",14.83,43.66,2.47,66.06,123.06,11.01,83.36,113.35,13.89,55.81,10.92,9.30,62.14,10.36,"$2,974.02",$495.67,$7.65,$1.27,"$1,882.16",$313.69,$4.84,$0.81
CITATION V,CESSNA,Business Jet,Yes,1989,1994,1989-1994,No,30,35,2,"45,000","3,646",15.00,52.20,48.90,"38,289",4.91,4.91,17.40,419.5,67,9.1,"1,190",397,7,"$2,057,000","$1,677,222",1.0,105,$0,"$1,371.44",0.0,0,$0,"$490,806","$1,234,296","$311,366","$1,725,102","$672,172","$5,797,640","$4,120,419","$2,874,151",1.43,"$1,246,267",14.60,42.90,2.09,48.72,87.69,6.96,65.29,88.36,9.33,80.11,15.72,11.44,52.04,7.43,"$3,833.56",$547.65,$9.66,$1.38,"$2,742.88",$391.84,$6.91,$0.99
TBM-940,DAHER,Turboprop,No,2019,2022,2019-2022,Yes,2,5,1,"31,000","3,000",14.30,42.10,35.20,"21,191",4.10,4.00,10.00,164.0,33,12.9,"1,274",323,5,"$4,100,000","$3,343,028",1.2,129,$0,$605.50,0.0,0,$0,"$209,188","$544,950","$168,965","$754,138","$295,453","$6,334,238","$2,991,209","$1,559,678",1.92,"$1,431,531",19.61,60.07,3.92,49.72,89.73,9.94,74.90,101.65,14.98,47.50,9.28,9.50,55.46,11.09,"$1,675.86",$335.17,$5.19,$1.04,"$1,211.00",$242.20,$3.75,$0.75
CITATION VI,CESSNA,Business Jet,Yes,1991,1995,1991-1995,Yes,29,33,2,"51,000","5,489",16.80,53.50,55.40,"49,794",5.80,5.60,18.50,600.9,61,8.3,"1,726",427,8,"$1,498,000","$1,221,428",0.9,97,$0,"$1,688.68",0.0,0,$0,"$600,299","$1,519,812","$356,455","$2,120,111","$826,754","$5,908,343","$4,686,914","$3,290,355",1.42,"$1,396,559",13.84,40.27,1.73,34.23,58.14,4.28,49.20,66.10,6.15,93.46,18.35,11.68,42.23,5.28,"$4,711.36",$588.92,$11.03,$1.38,"$3,377.36",$422.17,$7.91,$0.99
NEXTANT 400XTi,NEXTANT,Business Jet,Yes,2014,2019,2014-2019,Yes,5,10,2,"45,000","4,485",13.92,43.60,48.50,"29,435",4.90,4.92,15.60,376.1,56,7.8,"1,806",460,7,"$2,495,000","$2,034,355",0.9,90,$0,"$1,142.40",0.0,0,$0,"$502,925","$1,028,160","$223,844","$1,531,085","$596,769","$5,939,491","$3,905,136","$2,066,254",1.89,"$1,838,882",12.91,37.10,1.84,32.89,55.40,4.70,46.25,62.01,6.61,59.00,11.55,8.43,36.78,5.25,"$3,402.41",$486.06,$7.40,$1.06,"$2,284.80",$326.40,$4.97,$0.71
CITATION V ULTRA,CESSNA,Business Jet,Yes,1994,1999,1994-1999,Yes,25,30,2,"45,000","3,422",15.00,52.20,48.90,"38,289",4.91,4.91,17.40,419.5,67,9.1,"1,228",430,7,"$2,228,000","$1,816,650",0.9,97,$0,"$1,461.70",0.0,0,$0,"$498,628","$1,315,530","$306,390","$1,814,158","$675,018","$6,014,442","$4,197,792","$2,828,220",1.48,"$1,369,572",13.99,40.78,2.00,48.98,88.21,7.00,64.50,87.26,9.21,81.78,16.04,11.68,51.65,7.38,"$4,031.46",$575.92,$9.38,$1.34,"$2,923.40",$417.63,$6.80,$0.97
LEARJET 40,BOMBARDIER,Business Jet,Yes,2004,2007,2004-2007,Yes,17,20,2,"51,000","4,221",14.10,47.80,55.50,"37,406",4.92,5.10,17.80,446.6,65,8.4,"1,534",436,6,"$2,000,000","$1,630,745",0.9,95,$0,"$1,665.50",0.0,0,$0,"$519,846","$1,498,950","$344,305","$2,018,796","$734,151","$6,040,011","$4,409,265","$3,178,202",1.39,"$1,231,063",13.85,40.32,2.31,39.37,68.63,6.56,54.48,73.40,9.08,92.29,18.12,15.38,45.76,7.63,"$4,486.21",$747.70,$10.29,$1.71,"$3,331.00",$555.17,$7.64,$1.27
CHEYENNE IIXL,PIPER,Turboprop,Yes,1981,1984,1981-1984,No,40,43,1,"31,000","4,387",12.70,42.70,36.70,"19,902",4.40,4.20,12.70,234.7,38,8.5,749,264,5,"$1,550,000","$1,263,828",1.5,158,$0,"$1,252.42",0.0,0,$0,"$348,568","$1,127,178","$427,594","$1,475,746","$693,462","$5,303,482","$4,039,654","$3,947,021",1.02,"$92,634",20.09,61.72,4.02,70.81,132.74,14.16,97.23,132.53,19.45,100.64,19.77,20.13,76.15,15.23,"$3,279.44",$655.89,$12.42,$2.48,"$2,504.84",$500.97,$9.49,$1.90
KING AIR B200SE,BEECH,Turboprop,Yes,1995,2001,1995-2001,Yes,23,29,1,"35,000","5,167",14.80,54.50,43.90,"35,410",4.91,4.60,16.80,379.4,54,9.3,"1,218",283,6,"$1,956,000","$1,594,869",1.4,147,$0,$946.32,0.0,0,$0,"$463,746","$851,688","$301,396","$1,315,434","$682,442","$5,729,339","$4,134,470","$2,782,114",1.49,"$1,352,356",20.25,62.25,3.37,47.04,84.26,7.84,73.26,99.37,12.21,76.63,15.03,12.77,57.20,9.53,"$2,923.19",$487.20,$10.33,$1.72,"$1,892.64",$315.44,$6.69,$1.11
KING AIR B200,BEECH,Turboprop,Yes,1981,2008,1981-2008,Yes,16,43,1,"35,000","5,167",14.80,54.50,43.90,"35,410",4.91,4.60,16.80,379.4,54,9.3,897,282,6,"$1,956,000","$1,594,869",1.4,148,$0,$946.32,0.0,0,$0,"$461,746","$851,688","$302,464","$1,313,434","$681,510","$5,724,683","$4,129,814","$2,791,980",1.48,"$1,337,835",20.30,62.44,3.38,63.82,118.49,10.64,90.46,123.18,15.08,76.84,15.07,12.81,69.12,11.52,"$2,918.74",$486.46,$10.35,$1.73,"$1,892.64",$315.44,$6.71,$1.12
PC-12/45/47,PILATUS,Turboprop,No,1995,2008,1995-2008,Yes,16,29,1,"30,000","2,388",14.00,53.20,47.30,"35,229",4.90,5.00,16.92,414.5,34,8.5,"1,307",261,7,"$3,115,000","$2,539,886",1.5,159,$0,$596.12,0.0,0,$0,"$225,576","$536,508","$205,863","$762,084","$348,739","$5,433,810","$2,893,924","$1,900,275",1.52,"$993,649",20.82,64.22,2.97,41.57,73.12,5.94,68.67,93.03,9.81,49.64,9.70,7.09,51.37,7.34,"$1,693.52",$241.93,$6.49,$0.93,"$1,192.24",$170.32,$4.57,$0.65
KING AIR C90B,BEECH,Turboprop,Yes,1992,2005,1992-2005,Yes,19,32,1,"30,000","4,406",14.30,50.20,35.50,"25,484",4.91,4.60,12.50,282.3,48,9.0,624,234,5,"$1,784,000","$1,454,625",1.7,178,$0,$778.30,0.0,0,$0,"$358,568","$700,470","$299,790","$1,059,038","$575,658","$4,991,663","$3,537,038","$2,767,289",1.28,"$769,749",21.33,65.98,4.27,79.99,151.47,16.00,108.73,148.44,21.75,66.41,13.01,13.28,80.73,16.15,"$2,353.42",$470.68,$10.06,$2.01,"$1,556.60",$311.32,$6.65,$1.33
PHENOM 100E,EMBRAER,Business Jet,Yes,2014,2017,2014-2017,Yes,7,10,1,"41,000","3,400",14.30,40.40,42.10,"24,322",4.92,5.00,11.00,270.6,71,9.0,892,370,5,"$3,300,000","$2,690,730",1.1,112,$0,$910.34,0.0,0,$0,"$337,375","$819,306","$221,762","$1,156,681","$429,137","$6,054,956","$3,364,226","$2,047,035",1.64,"$1,317,191",16.36,48.94,3.27,67.88,126.77,13.58,87.85,119.57,17.57,59.59,11.66,11.92,65.62,13.12,"$2,570.40",$514.08,$6.95,$1.39,"$1,820.68",$364.14,$4.92,$0.98
KING AIR C90SE,BEECH,Turboprop,Yes,1995,2000,1995-2000,Yes,24,29,1,"30,000","4,406",14.30,50.20,35.50,"25,484",4.91,4.60,12.50,282.3,48,9.0,624,234,5,"$1,784,000","$1,454,625",1.7,178,$0,$781.28,0.0,0,$0,"$358,568","$703,152","$300,937","$1,061,720","$576,805","$4,997,403","$3,542,778","$2,777,884",1.28,"$764,893",21.36,66.06,4.27,80.09,151.66,16.02,108.86,148.63,21.77,66.74,13.08,13.35,80.85,16.17,"$2,359.38",$471.88,$10.08,$2.02,"$1,562.56",$312.51,$6.68,$1.34
KODIAK 100,DAHER,Turboprop,No,2008,2024,2008-2024,Yes,0,16,1,"25,000","1,550",15.30,45.00,34.20,"23,547",4.60,4.90,15.91,358.6,63,6.6,895,178,9,"$1,875,000","$1,528,824",2.2,234,$0,$424.52,0.0,0,$0,"$194,126","$382,068","$214,963","$576,194","$326,389","$3,853,121","$2,324,297","$1,984,273",1.17,"$340,024",21.65,67.06,2.41,43.05,76.13,4.78,71.59,97.08,7.95,36.76,7.16,4.08,52.12,5.79,"$1,280.43",$142.27,$7.19,$0.80,$849.04,$94.34,$4.77,$0.53
KING AIR B200GT,BEECH,Turboprop,Yes,2008,2013,2008-2013,Yes,11,16,1,"35,000","3,549",14.80,54.50,43.90,"35,410",4.60,4.60,16.80,355.5,55,10.0,936,297,8,"$2,578,000","$2,102,031",1.3,140,$0,$977.40,0.0,0,$0,"$464,058","$879,660","$296,621","$1,343,718","$677,979","$6,443,862","$4,341,831","$2,738,036",1.59,"$1,603,795",21.70,67.23,2.71,68.84,128.73,8.61,97.98,133.58,12.25,84.82,16.65,10.60,75.11,9.39,"$2,986.04",$373.26,$10.05,$1.26,"$1,954.80",$244.35,$6.58,$0.82
LEARJET 45,BOMBARDIER,Business Jet,Yes,1998,2007,1998-2007,Yes,17,26,2,"51,000","4,241",14.10,47.80,57.60,"38,821",4.92,5.10,19.90,499.3,65,7.8,"1,387",436,8,"$2,195,000","$1,789,743",0.9,95,$0,"$1,705.04",0.0,0,$0,"$522,045","$1,534,536","$352,479","$2,056,581","$744,524","$6,322,878","$4,533,135","$3,253,654",1.39,"$1,279,481",14.50,42.55,1.81,45.59,81.30,5.70,61.92,83.70,7.74,98.91,19.42,12.36,51.56,6.45,"$4,570.18",$571.27,$10.48,$1.31,"$3,410.08",$426.26,$7.82,$0.98
HAWKER 800SP,BAE,Business Jet,Yes,1984,1995,1984-1995,Yes,29,40,2,"41,000","6,142",17.40,51.40,51.10,"45,702",5.90,6.00,21.40,757.6,48,6.0,"2,496",429,8,"$1,800,000","$1,467,671",0.9,97,$0,"$1,817.16",0.0,0,$0,"$617,672","$1,635,444","$381,787","$2,253,116","$869,459","$6,479,625","$5,011,954","$3,524,189",1.42,"$1,487,765",15.10,44.62,1.89,25.96,41.27,3.25,42.94,57.44,5.37,109.79,21.57,13.72,39.51,4.94,"$5,006.92",$625.87,$11.67,$1.46,"$3,634.32",$454.29,$8.47,$1.06
FALCON 20F-5,DASSAULT,Business Jet,Yes,1970,1991,1970-1991,No,33,54,2,"42,000","5,167",17.70,53.60,56.30,"53,413",5.80,6.10,24.40,863.3,60,6.2,"2,194",455,9,"$2,100,000","$1,712,283",0.9,91,$0,"$1,771.30",0.0,0,$0,"$594,512","$1,594,170","$350,886","$2,188,682","$815,398","$6,564,708","$4,852,425","$3,238,949",1.50,"$1,613,477",14.43,42.30,1.60,29.92,49.35,3.32,45.82,61.43,5.09,102.22,20.08,11.36,40.75,4.53,"$4,863.74",$540.42,$10.69,$1.19,"$3,542.60",$393.62,$7.79,$0.87
1900D,BEECH,Turboprop,Yes,1991,2003,1991-2003,Yes,21,33,1,"25,000","3,715",15.50,57.90,57.80,"51,873",5.92,4.60,25.20,686.2,55,7.6,"1,247",260,19,"$1,470,200","$1,198,761",1.5,160,$0,"$1,207.44",0.0,0,$0,"$486,871","$1,086,696","$418,579","$1,573,567","$822,750","$5,855,390","$4,656,629","$3,863,808",1.21,"$792,821",22.52,70.06,1.19,46.96,84.09,2.47,77.07,104.66,4.06,108.77,21.37,5.72,63.01,3.32,"$3,496.82",$184.04,$13.45,$0.71,"$2,414.88",$127.10,$9.29,$0.49
CITATION VII,CESSNA,Business Jet,Yes,1992,2000,1992-2000,Yes,24,32,2,"51,000","5,040",16.80,53.50,55.40,"49,794",5.80,5.60,18.50,600.9,54,8.3,"1,651",452,8,"$2,038,000","$1,661,730",0.9,92,$0,"$1,801.44",0.0,0,$0,"$602,469","$1,621,296","$359,225","$2,223,765","$831,694","$6,572,741","$4,911,012","$3,315,925",1.48,"$1,595,087",14.54,42.69,1.82,39.81,69.52,4.98,56.10,75.65,7.01,104.78,20.58,13.10,48.12,6.01,"$4,941.70",$617.71,$10.93,$1.37,"$3,602.88",$450.36,$7.97,$1.00
CITATION CJ2,CESSNA,Business Jet,Yes,2000,2004,2000-2004,Yes,20,24,1,"45,000","3,724",13.90,49.80,47.70,"33,019",4.90,4.91,13.70,329.6,74,10.0,"1,057",413,7,"$3,162,000","$2,578,208",1.0,101,$0,$960.12,0.0,0,$0,"$504,414","$864,108","$209,537","$1,368,522","$583,951","$6,665,547","$4,087,338","$1,934,188",2.11,"$2,153,150",16.14,48.17,2.31,63.06,116.94,9.01,82.55,112.23,11.79,61.98,12.14,8.85,62.19,8.88,"$3,041.16",$434.45,$7.36,$1.05,"$1,920.24",$274.32,$4.65,$0.66
LEARJET 40XR,BOMBARDIER,Business Jet,Yes,2004,2012,2004-2012,Yes,12,20,2,"51,000","4,563",14.10,47.80,55.50,"37,406",4.92,5.10,17.80,446.6,65,8.4,"1,734",436,6,"$2,563,000","$2,089,800",0.9,95,$0,"$1,716.66",0.0,0,$0,"$528,846","$1,544,994","$354,881","$2,073,840","$753,727","$6,804,837","$4,715,037","$3,275,828",1.44,"$1,439,208",15.61,46.34,2.60,39.24,68.36,6.54,57.35,77.37,9.56,107.17,21.06,17.86,49.22,8.20,"$4,608.53",$768.09,$10.57,$1.76,"$3,433.32",$572.22,$7.87,$1.31
SPX,ASTRA/GULFSTREAM,Business Jet,Yes,1996,2001,1996-2001,Yes,23,28,2,"45,000","5,000",18.20,54.60,55.60,"55,251",5.60,4.90,17.10,469.2,51,11.8,"2,456",465,6,"$2,347,000","$1,913,680",0.9,89,$0,"$1,616.04",0.0,0,$0,"$623,844","$1,454,436","$313,245","$2,078,280","$807,089","$6,815,767","$4,902,087","$2,891,495",1.70,"$2,010,592",14.66,43.08,2.44,27.75,44.92,4.63,44.00,58.91,7.33,94.75,18.60,15.79,38.76,6.46,"$4,618.40",$769.73,$9.93,$1.66,"$3,232.08",$538.68,$6.95,$1.16
TBM-960,DAHER,Turboprop,No,2022,2024,2022-2024,Yes,0,2,1,"31,000","2,823",14.30,42.10,35.20,"21,191",4.10,4.00,10.00,164.0,33,12.9,"1,350",308,5,"$4,900,000","$3,995,326",1.3,135,$0,$597.04,0.0,0,$0,"$209,188","$537,336","$174,718","$746,524","$301,206","$7,310,705","$3,315,379","$1,612,783",2.06,"$1,702,595",23.74,74.23,4.75,54.15,98.77,10.83,86.50,117.69,17.30,56.69,11.09,11.34,64.39,12.88,"$1,658.94",$331.79,$5.39,$1.08,"$1,194.08",$238.82,$3.88,$0.78
